"film_id","annotation_id","final_ad","anonymized_ad","final_frame","frame_id","text","scene_or_background","context"
"0_Able-NZ","a1","On an overcast day, a man and a woman walk by the seaside with a large, lanky dog. A jogger passes them in the opposite direction. The dog sniffs the ground.","On an overcast day, a man and a woman walk by the seaside with a large, lanky dog. A jogger passes them in the opposite direction. The dog sniffs the ground.","243.jpg",0,0,1,
"1_Bridge-US","a1","A nearly-empty beach beside a sea. A couple wears jackets as they stroll with their large Great Dane. A male runner jogs past. The dog sniffs the sand.","A nearly-empty beach beside a sea. A couple wears jackets as they stroll with their large Great Dane. A male runner jogs past. The dog sniffs the sand.","243.jpg",0,0,1,
"2_BTI-UK","a58","In the distance, a couple walk their dog along an urban beach. They pass a jogger running in the opposite direction. The dog sniffs at something on the sand.","In the distance, a couple walk their dog along an urban beach. They pass a jogger running in the opposite direction. The dog sniffs at something on the sand.","243.jpg",0,0,1,
"3_Deluxe-UK","a1","A road running along by the sea. A couple walk their dog on the flat beach and a jogger runs past. The sky above is pale and dappled with light grey clouds.","A road running along by the sea. A couple walk their dog on the flat beach and a jogger runs past. The sky above is pale and dappled with light grey clouds.","243.jpg",0,0,1,
"4_Ericsson-AU","a4698","A sandy promenade at the seaside in pale dawn light. A man in a tracksuit jogs past a couple with a large dog, which sniffs at something in the sand.","A sandy promenade at the seaside in pale dawn light. A man in a tracksuit jogs past a couple with a large dog, which sniffs at something in the sand.","243.jpg",0,0,1,
"5_Ericsson-UK","a1","Daytime. A pale grey seafront. A couple walk their dog along a sandy promenade, passing a jogger going in the opposite direction.","Daytime. A pale grey seafront. A couple walk their dog along a sandy promenade, passing a jogger going in the opposite direction.","243.jpg",0,0,1,
"6_Mennell-CA","a1","It's an early grey morning at an urban seaside. A couple dressed in warm clothes walk their great dane as a lone jogger rambles past. The sidewalk in the foreground that runs alongside a road is vacant.","It's an early grey morning at an urban seaside. A couple dressed in warm clothes walk their great dane as a lone jogger rambles past. The sidewalk in the foreground that runs alongside a road is vacant.","243.jpg",0,0,1,
"7_MindsEye-UK","a1","A beach under the pale sunshine. A couple walk by with a big black dog. A jogger runs the other way. The dog sniffs the sand.","A beach under the pale sunshine. A couple walk by with a big black dog. A jogger runs the other way. The dog sniffs the sand.","243.jpg",0,0,1,
"8_SDI-UK","a1","A photo in sombre greys with some colour highlights. Day. A couple stroll along a virtually deserted beach with a large dog lolloping behind them. A man jogs past.","A photo in sombre greys with some colour highlights. Day. A couple stroll along a virtually deserted beach with a large dog lolloping behind them. A man jogs past.","243.jpg",0,0,1,
"9_ADAssociates-US","a1","Under a partly-cloudy sky, a wide and sandy beachfront and parking area. A jogger runs from the right, while at left a couple walks a large dog.","Under a partly-cloudy sky, a wide and sandy beachfront and parking area. A jogger runs from the right, while at left a couple walks a large dog.","243.jpg",0,0,1,
"0_Able-NZ","a2","Black text on a white background, reading: 'What happens while', followed by a long black line.","Black text on a white background, reading: 'What happens while', followed by a long black line.","472.jpg",1,1,1,"On an overcast day, a man and a woman walk by the seaside with a large, lanky dog. A jogger passes them in the opposite direction. The dog pauses to sniff the ground and trots onwards."
"1_Bridge-US","a3","Words: What Happens While… with a long, blank line at the end.","Words: What Happens While… with a long, blank line at the end.","472.jpg",1,1,1,"A nearly-empty beach beside a sea. A couple wears jackets as they stroll with their large Great Dane.
A male runner jogs past. The dog trots and sniffs the sand. It follows its owner along the coast."
"2_BTI-UK","a59","Words in black letters on a white background. what happens while, followed by a long black line.","Words in black letters on a white background. what happens while, followed by a long black line.","472.jpg",1,1,1,"In the distance, a couple walk their dog along an urban beach. They pass a jogger running in the opposite direction. The dog stops to sniff at something on the sand."
"3_Deluxe-UK","a2","What happens while. The title ends with just a line.","What happens while. The title ends with just a line.","472.jpg",1,1,1,"A road running along by the sea. A couple walk their dog on the flat beach and a jogger runs past. The sky above is pale and dappled with light grey clouds."
"4_Ericsson-AU","a4699","A title. What Happens While…","A title. What Happens While…","472.jpg",1,1,1,"A sandy promenade at the seaside in pale dawn light. A man in a tracksuit jogs past a couple with a large dog, which stops to sniff at something in the sand before trotting onwards."
"5_Ericsson-UK","a2","What happens while.","What happens while.","472.jpg",1,1,1,"Daytime. A pale grey seafront. A couple walk their dog along a sandy promenade, passing a jogger going in the opposite direction."
"6_Mennell-CA","a2","A title reads: What happens while BLANK.","A title reads: What happens while BLANK.","472.jpg",1,1,1,"It's an early grey morning at an urban seaside. A couple dressed in warm clothes walk their great dane as a lone jogger rambles past. The sidewalk in the foreground that runs alongside a road is vacant."
"7_MindsEye-UK","a2","Caption: What happens while – blank.","Caption: What happens while – blank.","472.jpg",1,1,1,"A beach under the pale sunshine. A couple walk by with a big black dog. A jogger runs the other way. The dog stops to sniff the sand. Its owner beckons the dog to come. It trots after them."
"8_SDI-UK","a2","On a white background: What Happens While.","On a white background: What Happens While.","472.jpg",1,1,1,"A film shot mostly in sombre greys with some colour highlights. Day. A couple stroll along a virtually deserted beach with a large dog lolloping behind them. A man jogs past."
"9_ADAssociates-US","a2","A title: What happens While","A title: What happens While","472.jpg",1,1,1,"Under a partly-cloudy sky, a wide and sandy beachfront and parking area. A jogger runs from the right, while at left a couple walks a large dog."
"1_Bridge-US","a76","A title: What Happens While... with a long, blank line at the end.","A title: What Happens While... with a long, blank line at the end.","472.jpg",1,1,1,"She gazes up. No! What are you talking about? Of course yes, our luggage is ready…
The woman furrows her brow. She looks around again. Listen, I cannot talk right now. I have to leave you.
Words appear: Zoé, the Next One."
"2_BTI-UK","a103","The title, in black letters on a white background: what happens while, followed by a long black line.","The title, in black letters on a white background: what happens while, followed by a long black line.","472.jpg",1,1,1,"She looks up towards the sound.,
Listen, I can't talk right now, I have to leave you.
In white capitals, Zoe, the next one,"
"4_Ericsson-AU","a4732","'What Happens While...'","'What Happens While...'","472.jpg",1,1,1,"She jogs after the others, and James puts his arm around her as she walks between him and Rick back to the overgrown ridge at the edge of the clearing.
Blackout, then a woman with black dreadlocks hanging washing on a rooftop. She says into her phone, ""No, I couldn't. I have to finish, really. No! What are you talking about? Of course yes, our luggage is ready...""
Looking about with a frown she says, ""Listen, I cannot talk right now. I have to leave you."" Onscreen: Zoe, the next one."
"6_Mennell-CA","a52","What happens while BLANK.","What happens while BLANK.","472.jpg",1,1,1,"'No!' she says, 'What are you talking about? Of course yes, our luggage is ready.'
She looks for the sound, then says, 'Listen, I cannot talk right now. I have to leave you'.
A title reads, 'Zoe, the next one.'"
"0_Able-NZ","a2616","A man in a suit and tie and talking on a cellphone parks his white BMW by the seaside.","A man in a suit and tie and talking on a cellphone parks his white BMW by the seaside.","687.jpg",2,0,1,"A jogger passes them in the opposite direction
The dog pauses to sniff the ground and trots onwards
Black text on a white screen appears, reading: 'What happens while', followed by a long black line"
"1_Bridge-US","a5","A slick, white car is parked on the grey asphalt. The male driver sits alone inside and speaks on his cell phone.","A slick, white car parks on the grey asphalt. The male driver sits alone inside and speaks on his cell phone.","687.jpg",2,0,1,"A nearly-empty beach beside a sea. A couple wears jackets as they stroll with their large Great Dane.
A male runner jogs past. The dog trots and sniffs the sand. It follows its owner along the coast.
Words appear: What Happens While… with a long, blank line at the end."
"2_BTI-UK","a60","A white saloon is parked alongside the beach wall. The male driver is on his mobile. The man is in his mid 30's with a sandy beard.","A white saloon parks alongside the beach wall. The male driver is on his mobile. The man is in his mid 30's with a sandy beard.","687.jpg",2,0,1,"In the distance, a couple walk their dog along an urban beach. They pass a jogger running in the opposite direction. The dog stops to sniff at something on the sand.
Responding to the whistle, he pads after his owners.  Words in black letters on a white background. what happens while, followed by a long black line."
"3_Deluxe-UK","a2","A man parks a sleek white BMW on the road by the sea.","A man parks a sleek white BMW on the road by the sea.","687.jpg",2,0,1,"A road running along by the sea. A couple walk their dog on the flat beach and a jogger runs past. The sky above is pale and dappled with light grey clouds."
"4_Ericsson-AU","a4700","A bearded man in a suit parks his expensive car by the promenade while on the phone.","A bearded man in a suit parks his expensive car by the promenade while on the phone.","687.jpg",2,0,1,"A sandy promenade at the seaside in pale dawn light. A man in a tracksuit jogs past a couple with a large dog, which stops to sniff at something in the sand before trotting onwards.
A title on screen. What Happens While..."
"5_Ericsson-UK","a3","A white saloon car is parked on the seafront and the driver is on his mobile phone.","A white saloon car is parked on the seafront and the driver is on his mobile phone.","687.jpg",2,0,1,"Daytime. A pale grey seafront. A couple walk their dog along a sandy promenade, passing a jogger going in the opposite direction.
What happens while."
"7_MindsEye-UK","a3","A car is parked by the beach, silver with sporty wheels. Inside the driver is on his mobile phone.","A car pulls up by the beach, silver with sporty wheels. Inside the driver is on his mobile phone.","687.jpg",2,0,1,"A beach under the pale sunshine. A couple walk by with a big black dog. A jogger runs the other way. The dog stops to sniff the sand. Its owner beckons the dog to come. It trots after them.
Caption: What happens while – blank."
"8_SDI-UK","a3","A BMW coupe is parked beside the beach and a forty-something guy is inside, speaking on his phone.","A BMW coupe is parked beside the beach and a forty-something guy is inside, speaking on his phone.","687.jpg",2,0,1,"A film shot mostly in sombre greys with some colour highlights. Day. A couple stroll along a virtually deserted beach with a large dog lolloping behind them. A man jogs past.
On a white background: What Happens While."
"1_Bridge-US","a6","A man wearing a business suits grabs items from the trunk.","A man wearing a business suits grabs items from the trunk.","1115.jpg",3,0,1,"Words appear: What Happens While… with a long, blank line at the end.
A slick, white car approaches, driving on the grey asphalt. The male driver sits alone inside and speaks on his cell phone.
He looks aggressive as he bangs the steering wheel. He gets out. He wears a business suit."
"6_Mennell-CA","a4","He opens his trunk.","He opens his trunk.","1115.jpg",3,0,1,"It's an early grey morning at an urban seaside. A couple dressed in warm clothes walk their great dane as a lone jogger rambles past. The sidewalk in the foreground that runs alongside a road is vacant.
A title reads: What happens while BLANK.
A white two-door coupe pulls up in front of the sidewalk. It's driven by a man in his forties who wears a business suit. Talking on his cell phone, he gets out holding a briefcase."
"7_MindsEye-UK","a4","He gets out his briefcase.","He gets out his briefcase.","1115.jpg",3,0,1,"A beach under the pale sunshine. A couple walk by with a big black dog. A jogger runs the other way. The dog stops to sniff the sand. Its owner beckons the dog to come. It trots after them.
Caption: What happens while – blank.
A car pulls up by the beach, silver with sporty wheels. Inside the driver is on his mobile phone."
"9_ADAssociates-US","a3","A man with a trim, reddish-brown beard holds a phone to his ear and pulls a briefcase out of a white sedan.","A man with a trim, reddish-brown beard holds a phone to his ear and pulls a briefcase out of a white sedan.","1115.jpg",3,0,1,"Under a partly-cloudy sky, a wide and sandy beachfront and parking area. A jogger runs from the right, while at left a couple walks a large dog.
A title: What happens While"
"5_Ericsson-UK","a4","He's around fifty and has a short trimmed beard.","He's around fifty and has a short trimmed beard.","1493.jpg",4,0,1,"Daytime. A pale grey seafront. A couple walk their dog along a sandy promenade, passing a jogger going in the opposite direction.
What happens while.
A white saloon car pulls up on the seafront and the driver, who is having an animated conversation on his mobile phone, gets out."
"3_Deluxe-UK","a3","He's wearing a suit. He has short light brown hair and a beard.","He's wearing a suit. He has short light brown hair and a beard.","1493.jpg",4,0,1,"A road running along by the sea. A couple walk their dog on the flat beach and a jogger runs past. The sky above is pale and dappled with light grey clouds.
What happens while. The title ends with just a line. A man parks a sleek white BMW on the road by the sea. Talking on his mobile phone he gets out of the car and opens the boot."
"7_MindsEye-UK","a7","He has ginger hair and a beard.","He has ginger hair and a beard.","1493.jpg",4,0,1,"He undoes his seat belt. Opens the door. Gets out with his briefcase.
He puts his case in the boot, gets out a striped bag.
He ends the call. Puts his phone away. Looks out towards the sea.  Takes a deep breath."
"9_ADAssociates-US","a4","A man with a trim, reddish-brown beard, wearing a dark suit, his tie loose at the collar.","A man with a trim, reddish-brown beard, wearing a dark suit, his tie loose at the collar.","1493.jpg",4,0,1,"Under a partly-cloudy sky, a wide and sandy beachfront and parking area. A jogger runs from the right, while at left a couple walks a large dog.
A title: What happens While
Emerging from a white sedan, a man with a trim, reddish-brown beard holds a phone to his ear and pulls a briefcase out of the car."
"0_Able-NZ","a4","White text reads: James, The businessman. ","White text reads: James, The businessman. ","1684.jpg",5,1,0,"On an overcast day, a man and a woman walk by the seaside with a large, lanky dog. A jogger passes them in the opposite direction. The dog pauses to sniff the ground and trots onwards.
Black text on a white screen appears, reading: 'What happens while', followed by a long black line. A man in a suit and tie and talking on a cellphone pulls up by the seaside in a white BMW.
Pocketing his cellphone, the bearded man chucks his briefcase in the boot of his car and dons a pair of aviator sunglasses."
"1_Bridge-US","a9","Words: James, the Businessman","Words: James, the Businessman","1684.jpg",5,1,0,"He mutters and stares disdainfully at the phone as he hangs up.
His pale skin looks cool and soft in the muted sunlight.
He puts on dark aviator, sunglasses."
"2_BTI-UK","a63","In white letters, JAMES,the business man.","In white letters, JAMES,the business man.","1684.jpg",5,1,0,"A white saloon pulls up alongside the beach wall. The male driver is on his mobile.
The man in his mid 30's with a sandy beard, sighs with annoyance.
Wearing a work suit, his tie loosened at the collar, he puts on a pair of sunglasses."
"3_Deluxe-UK","a4","James: The businessman.","James: The businessman.","1684.jpg",5,1,0,"A road running along by the sea. A couple walk their dog on the flat beach and a jogger runs past. The sky above is pale and dappled with light grey clouds.
What happens while. The title ends with just a line. A man parks a sleek white BMW on the road by the sea. Talking on his mobile phone he gets out of the car and opens the boot.
The man put a brief case in the boot of the car and took out a stripy cotton bag. He's wearing a suit. He has short light brown hair and a beard. He puts on a pair of aviator style sunglasses."
"4_Ericsson-AU","a4702","James - the businessman.","James - the businessman.","1684.jpg",5,1,0,"A title on screen. What Happens While...
A bearded man in a suit parks his expensive car by the promenade and gets out while on the phone.
Putting his phone away, he takes his sunglasses from his chest pocket and sighs wearily as he puts them on."
"5_Ericsson-UK","a4","James - the businessman.","James - the businessman.","1684.jpg",5,1,0,"Daytime. A pale grey seafront. A couple walk their dog along a sandy promenade, passing a jogger going in the opposite direction.
What happens while.
A white saloon car pulls up on the seafront and the driver, who is having an animated conversation on his mobile phone, gets out."
"6_Mennell-CA","a7","A title reads: James. The Businessman.","A title reads: James. The Businessman.","1684.jpg",5,1,0,"He opens his trunk.
Hanging up, he looks towards the sea.
He dons aviator sunglasses and his shoulders relax."
"7_MindsEye-UK","a39","Caption: James, the businessman.","Caption: James, the businessman.","1684.jpg",5,1,0,"He puts his case in the boot, gets out a striped bag.
He ends the call. Puts his phone away. Looks out towards the sea.  Takes a deep breath.
Puts on his sunglasses. He has ginger hair and a beard."
"8_SDI-UK","a6","James. The businessman.","James. The businessman.","1684.jpg",5,1,0,"A BMW coupe pulls up beside the beach and a forty-something guy gets out, speaking on his phone.
He ends the call, then reaches into in his inside jacket pocket.
He takes out sunglasses and puts them on."
"9_ADAssociates-US","a6","A title: James, The Businessman.","A title: James, The Businessman.","1684.jpg",5,1,0,"Emerging from a white sedan, a man with a trim, reddish-brown beard holds a phone to his ear and pulls a briefcase out of the car.
Wearing a dark suit, his tie loose at the collar, he exchanges his briefcase for a striped cloth bag from the trunk.
He glances toward the beach, pulls sunglasses from his coat’s vest pocket, and puts them on."
"1_Bridge-US","a10","He walks along the nearly empty beach carrying a beach bag. He makes a call.","He walks along the nearly empty beach carrying a beach bag. He makes a call.","1854.jpg",6,0,1,"His pale skin looks cool and soft in the muted sunlight.
He puts on dark aviator, sunglasses.
Words appear: James, the Businessman"
"2_BTI-UK","a63","James walks along the promenade with a beach bag over his shoulder.","Someone walks along the promenade with a beach bag over his shoulder.","1854.jpg",6,0,1,"A white saloon pulls up alongside the beach wall. The male driver is on his mobile.
The man in his mid 30's with a sandy beard, sighs with annoyance.
Wearing a work suit, his tie loosened at the collar, he puts on a pair of sunglasses."
"3_Deluxe-UK","a4","He walks along with the bag on his shoulder and makes a phone call.","He walks along with the bag on his shoulder and makes a phone call.","1854.jpg",6,0,1,"A road running along by the sea. A couple walk their dog on the flat beach and a jogger runs past. The sky above is pale and dappled with light grey clouds.
What happens while. The title ends with just a line. A man parks a sleek white BMW on the road by the sea. Talking on his mobile phone he gets out of the car and opens the boot.
The man put a brief case in the boot of the car and took out a stripy cotton bag. He's wearing a suit. He has short light brown hair and a beard. He puts on a pair of aviator style sunglasses."
"4_Ericsson-AU","a4702","He's carrying a stripy beach bag.","He's carrying a stripy beach bag.","1854.jpg",6,0,1,"A title on screen. What Happens While...
A bearded man in a suit parks his expensive car by the promenade and gets out while on the phone.
Putting his phone away, he takes his sunglasses from his chest pocket and sighs wearily as he puts them on."
"5_Ericsson-UK","a4","He's walking along the promenade with a striped bag slung over his shoulder.","He's walking along the promenade with a striped bag slung over his shoulder.","1854.jpg",6,0,1,"Daytime. A pale grey seafront. A couple walk their dog along a sandy promenade, passing a jogger going in the opposite direction.
What happens while.
A white saloon car pulls up on the seafront and the driver, who is having an animated conversation on his mobile phone, gets out."
"6_Mennell-CA","a8","He strolls with a beach bag as he makes a call.","He strolls with a beach bag as he makes a call.","1854.jpg",6,0,1,"Hanging up, he looks towards the sea.
He dons aviator sunglasses and his shoulders relax.
A title reads: James. The Businessman."
"7_MindsEye-UK","a39","James walks near the beach, talking on his phone","Someone walks near the beach, talking on his phone","1854.jpg",6,0,1,"He puts his case in the boot, gets out a striped bag.
He ends the call. Puts his phone away. Looks out towards the sea.  Takes a deep breath.
Puts on his sunglasses. He has ginger hair and a beard."
"8_SDI-UK","a6","Wearing a suit and carrying a beach bag, James makes a call as he walks.","Wearing a suit and carrying a beach bag, Someone makes a call as he walks.","1854.jpg",6,0,1,"A BMW coupe pulls up beside the beach and a forty-something guy gets out, speaking on his phone.
He ends the call, then reaches into in his inside jacket pocket.
He takes out sunglasses and puts them on."
"0_Able-NZ","a5","A shirtless James lies back on his beach towel on the sand.","A shirtless Someone lies back on his beach towel on the sand.","2675.jpg",7,0,1,"Black text on a white screen appears, reading: 'What happens while', followed by a long black line. A man in a suit and tie and talking on a cellphone pulls up by the seaside in a white BMW.
Pocketing his cellphone, the bearded man chucks his briefcase in the boot of his car and dons a pair of aviator sunglasses.
White text reads: James, The businessman. Later, James makes another call."
"1_Bridge-US","a11","James lies back, bare-chested, on a towel in the sand. His brownish, stubbly beard and chest hair almost match the ground.","Someone lies back, bare-chested, on a towel in the sand. His brownish, stubbly beard and chest hair almost match the ground.","2675.jpg",7,0,1,"He puts on dark aviator, sunglasses.
Words appear: James, the Businessman
He walks along the nearly empty beach carrying a beach bag. He makes a call."
"2_BTI-UK","a64","Having taken off his suit, James lies back on a thin towel on the sand.","Having taken off his suit, Someone lies back on a thin towel on the sand.","2675.jpg",7,0,1,"The man in his mid 30's with a sandy beard, sighs with annoyance.
Wearing a work suit, his tie loosened at the collar, he puts on a pair of sunglasses.
In white letters, JAMES,the business man. James walks along the promenade with a beach bag over his shoulder."
"3_Deluxe-UK","a5","James lies down on a towel on the sandy beach.","Someone lies down on a towel on the sandy beach.","2675.jpg",7,0,1,"What happens while. The title ends with just a line. A man parks a sleek white BMW on the road by the sea. Talking on his mobile phone he gets out of the car and opens the boot.
The man put a brief case in the boot of the car and took out a stripy cotton bag. He's wearing a suit. He has short light brown hair and a beard. He puts on a pair of aviator style sunglasses.
James: The businessman. He walks along with the bag on his shoulder and makes a phone call."
"4_Ericsson-AU","a4703","Bare-chested down on the beach, he flops onto a towel.","Bare-chested down on the beach, he flops onto a towel.","2675.jpg",7,0,1,"A bearded man in a suit parks his expensive car by the promenade and gets out while on the phone.
Putting his phone away, he takes his sunglasses from his chest pocket and sighs wearily as he puts them on.
Onscreen. James - the businessman. He's carrying a stripy beach bag."
"5_Ericsson-UK","a5","James, who is bare chested, lies down on his back on a towel spread out on the beach.","Someone, who is bare chested, lies down on his back on a towel spread out on the beach.","2675.jpg",7,0,1,"What happens while.
A white saloon car pulls up on the seafront and the driver, who is having an animated conversation on his mobile phone, gets out.
The man looks exasperated then reaches into his inside jacket pocket and pulls out a pair of sunglasses, which he puts on. He's around fifty and has a short trimmed beard. James - the businessman. Now, he's walking along the promenade with a striped bag slung over his shoulder."
"6_Mennell-CA","a10","James lies back with his shirt off.","Someone lies back with his shirt off.","2675.jpg",7,0,1,"A title reads: James. The Businessman.
Moments later he strolls with a beach bag as he makes a call.
Still later his suit is balled up beside a towel laid out on the sand.  01:34.17"
"7_MindsEye-UK","a8","James lies back on the beach, barechested.","Someone lies back on the beach, barechested.","2675.jpg",7,0,1,"He ends the call. Puts his phone away. Looks out towards the sea.  Takes a deep breath.
Puts on his sunglasses. He has ginger hair and a beard.
Caption: James, the businessman. James walks near the beach, talking on his phone"
"8_SDI-UK","a7","Bare chested, James lies back on a towel on the beach.","Bare chested, Someone lies back on a towel on the beach.","2675.jpg",7,0,1,"He ends the call, then reaches into in his inside jacket pocket.
He takes out sunglasses and puts them on.
James. The businessman. Wearing a suit and carrying a beach bag, James makes a call as he walks."
"9_ADAssociates-US","a7","A piece of clothing and a towel lie in the sand. James lies back, naked from the waist up.","A piece of clothing and a towel lie in the sand. Someone lies back, naked from the waist up.","2675.jpg",7,0,1,"Wearing a dark suit, his tie loose at the collar, he exchanges his briefcase for a striped cloth bag from the trunk.
He glances toward the beach, pulls sunglasses from his coat’s vest pocket, and puts them on.
A title: James, The Businessman. Now, looking at his phone, he steps along the beachfront."
"1_Bridge-US","a18","He walks along the water's edge. A city's skyscrapers rise in the distant coast.","He walks along the water's edge. A city's skyscrapers rise in the distant coast.","4087.jpg",8,0,1,"He looks left...and right.
He looks at the sand around him.
James gazes around, looking confused. He stands up, wearing his boxer shorts on the secluded beach."
"2_BTI-UK","a69","He walks along the sand in his trunks. In the distance, the city of Barcelona is a hazy outline.","He walks along the sand in his trunks. In the distance, the city of Barcelona is a hazy outline.","4087.jpg",8,0,1,"He lets the sand trickle through his fingers.
He sits up to answer the phone.
He looks round for the source of the sound."
"3_Deluxe-UK","a9","He walks along the sand as waves gently roll in. The coast curves round in the distance with industrial buildings running along it.","He walks along the sand as waves gently roll in. The coast curves round in the distance with industrial buildings running along it.","4087.jpg",8,0,1,"He relaxes, rubs his eyes and lets his arms flop out to his sides. He gently caresses the sand with his fingers.
He sits up and answers his phone.
He looks around frowning"
"4_Ericsson-AU","a4706","He walks along the seashore in his swimming trunks. Behind him, city buildings across the water blur against the hazy horizon.","He walks along the seashore in his swimming trunks. Behind him, city buildings across the water blur against the hazy horizon.","4087.jpg",8,0,1,"Bare-chested down on the beach, he flops onto a towel.
Closing his eyes, he rubs his face wearily, then runs his left hand over the sand, letting some of it trickle through his fingers.
He looks around in confusion."
"6_Mennell-CA","a14","He walks along the water in his black boxer briefs. On the opposite side of the bay, a smokestack looms over a city blurred by the haze.","He walks along the water in his black boxer briefs. On the opposite side of the bay, a smokestack looms over a city blurred by the haze.","4087.jpg",8,0,1,"He sits up.
He glances over his shoulders.
Then he searches the ground around him."
"8_SDI-UK","a12","Wearing dark-coloured swimming trunks, James walks along the water's edge. Further round the coast, in the background, the towers and buildings of a power plant fringe the shore.","Wearing dark-coloured swimming trunks, Someone walks along the water's edge. Further round the coast, in the background, the towers and buildings of a power plant fringe the shore.","4087.jpg",8,0,1,"He sits up.
He scans about.
He throws down his phone and gets up."
"0_Able-NZ","a12","Fully clothed, James marches down a street lined with leafy trees.","Fully clothed, Someone marches down a street lined with leafy trees.","5504.jpg",9,0,1,"James hangs up, then with his brow furrowed, he stands, wearing only his boxer briefs, on the seemingly deserted beach.
He walks near the calm water's edge, scanning the horizon.
Looking pertured, James continues looking away from the water, his eyes darting. He ambles back to his pile of clothes and puts on his grey business shirt."
"1_Bridge-US","a26","James wears his suit and walks under large, leafy trees. His unsmiling, serious face stares forward.","Someone wears his suit and walks under large, leafy trees. His unsmiling, serious face stares forward.","5504.jpg",9,0,1,"He wanders closer to the waves along the shore. James looks puzzled, and peers around the beach.
The sky is hazy-white, without distinguishable clouds or sun. James walks away from the water, scanning around with his eyes, as if trying to locate the mysterious sound.
Standing at his towel in the sand, he grabs his shirt and begins to put it on. He furrows his brow, looking inquisitively at the air."
"2_BTI-UK","a73","With his suit on, but no tie, he walks under a canopy of trees looking puzzled.","With his suit on, but no tie, he walks under a canopy of trees looking puzzled.","5504.jpg",9,0,1,"He looks towards the top of the beach and then turns to face the sea, puzzled by the high pitched whine.
He walks down to the edge of the water, then turns back up the beach to where he left his clothes,
He puts on his blue shirt, his eyes scouring the sky for the source of the sound."
